set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	cr_ref	structure_tags	norm_issue	disposition	annotator	note
atq	8eca999e-f7f8-4354-b419-2df4249c4361	Amulet of Kroog	Artifact	0		0	0	1	activated_ability	ability	printed		{2}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.	{M}, {M}: Prevent the next N damage that would be dealt to any target this turn.	ok	0	activated_ability	yes	yes	yes	none		prevention_in_effect	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	4b889ec0-6130-4e31-bb02-03fdabd28bee	Argivian Archaeologist	Creature — Human Artificer	0		0	0	1	activated_ability	ability	printed		{W}{W}, {T}: Return target artifact card from your graveyard to your hand.	{M}{M}, {M}: Return target artifact card from your graveyard to your hand.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	80240b6b-d20d-4dfb-a2c5-c272c3b43a70	Argivian Blacksmith	Creature — Human Artificer	0		0	0	1	activated_ability	ability	printed		{T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.	{M}: Prevent the next N damage that would be dealt to target artifact creature this turn.	ok	0	activated_ability	yes	yes	yes	none		prevention_in_effect	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	bbf183bc-d502-4432-8202-f29f60c08396	Argothian Pixies	Creature — Faerie	0		0	0	1	spell_or_static_text	ability	printed		This creature can't be blocked by artifact creatures.	~ can't be blocked by artifact creatures.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	bbf183bc-d502-4432-8202-f29f60c08396	Argothian Pixies	Creature — Faerie	1		0	0	2	prevention_effect	ability	printed		Prevent all damage that would be dealt to this creature by artifact creatures.	Prevent all damage that would be dealt to ~ by artifact creatures.	ok	0	prevention_effect	yes	yes	yes	cr	615.1a;604.1	prevention_static		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	prevention_effect kind (P-ARN-4) correct: static ability generating a CR 615 prevention effect.
atq	f3aaef18-dc32-40d6-b48c-f957aa31247f	Argothian Treefolk	Creature — Treefolk	0		0	0	1	prevention_effect	ability	printed		Prevent all damage that would be dealt to this creature by artifact sources.	Prevent all damage that would be dealt to ~ by artifact sources.	ok	0	prevention_effect	yes	yes	yes	cr	615.1a;604.1	prevention_static		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	prevention_effect kind (P-ARN-4) correct: static ability generating a CR 615 prevention effect.
atq	70d90ef4-0cda-405f-abf1-734fa909efa6	Armageddon Clock	Artifact	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, put a doom counter on this artifact.	At the beginning of your upkeep, put a doom counter on ~.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	70d90ef4-0cda-405f-abf1-734fa909efa6	Armageddon Clock	Artifact	1		0	0	2	triggered_ability	ability	printed		At the beginning of your draw step, this artifact deals damage equal to the number of doom counters on it to each player.	At the beginning of your draw step, ~ deals damage equal to the number of doom counters on it to each player.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	70d90ef4-0cda-405f-abf1-734fa909efa6	Armageddon Clock	Artifact	2		0	0	3	activated_ability	ability	printed		{4}: Remove a doom counter from this artifact. Any player may activate this ability but only during any upkeep step.	{M}: Remove a doom counter from ~. Any player may activate this ability but only during any upkeep step.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	'Any player may activate this ability but only during any upkeep step' - who + when in one instruction.
atq	2d4aedc5-31c5-4281-98e1-b0c2233c3c8a	Artifact Blast	Instant	0		0	0	1	spell_or_static_text	ability	printed		Counter target artifact spell.	Counter target artifact spell.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
